phase,dimension,catalog_id,label,proposal_count,winner_count,proposal_share,winner_share,adoption_given_usage,proposal_sessions,winner_sessions,session_usage_rate
phase3,selected_overlap_keywords,かがり火,かがり火,4,1,0.005457,0.003876,0.25,4,1,0.086957
phase3,selected_overlap_keywords,つる植物,つる植物,2,0,0.002729,0.0,0.0,2,0,0.043478
phase3,selected_overlap_keywords,アーチ壁,アーチ壁,2,0,0.002729,0.0,0.0,2,0,0.043478
phase3,selected_overlap_keywords,オベリスク,オベリスク,2,0,0.002729,0.0,0.0,2,0,0.043478
phase3,selected_overlap_keywords,カーブミラー,カーブミラー,2,1,0.002729,0.003876,0.5,2,1,0.043478
phase3,selected_overlap_keywords,ガードレール,ガードレール,1,1,0.001364,0.003876,1.0,1,1,0.021739
phase3,selected_overlap_keywords,グレーチング,グレーチング,1,0,0.001364,0.0,0.0,1,0,0.021739
phase3,selected_overlap_keywords,ケーブル束,ケーブル束,1,0,0.001364,0.0,0.0,1,0,0.021739
phase3,selected_overlap_keywords,ゴミ箱,ゴミ箱,1,0,0.001364,0.0,0.0,1,0,0.021739
phase3,selected_overlap_keywords,ドッキング柱,ドッキング柱,1,1,0.001364,0.003876,1.0,1,1,0.021739
phase3,selected_overlap_keywords,バス停柱,バス停柱,4,1,0.005457,0.003876,0.25,4,1,0.086957
phase3,selected_overlap_keywords,ベンチ,ベンチ,1,0,0.001364,0.0,0.0,1,0,0.021739
phase3,selected_overlap_keywords,マンホール,マンホール,1,0,0.001364,0.0,0.0,1,0,0.021739
phase3,selected_overlap_keywords,リニア軌道,リニア軌道,1,0,0.001364,0.0,0.0,1,0,0.021739
phase3,selected_overlap_keywords,ルーン柱,ルーン柱,4,1,0.005457,0.003876,0.25,4,1,0.086957
phase3,selected_overlap_keywords,乾燥棚,乾燥棚,1,0,0.001364,0.0,0.0,1,0,0.021739
phase3,selected_overlap_keywords,井戸,井戸,4,1,0.005457,0.003876,0.25,4,1,0.086957
phase3,selected_overlap_keywords,井桁,井桁,1,1,0.001364,0.003876,1.0,1,1,0.021739
phase3,selected_overlap_keywords,作業台,作業台,2,0,0.002729,0.0,0.0,2,0,0.043478
phase3,selected_overlap_keywords,係留杭,係留杭,3,1,0.004093,0.003876,0.333333,3,1,0.065217
phase3,selected_overlap_keywords,信号機,信号機,7,0,0.00955,0.0,0.0,7,0,0.152174
phase3,selected_overlap_keywords,倉庫扉,倉庫扉,3,1,0.004093,0.003876,0.333333,3,1,0.065217
phase3,selected_overlap_keywords,倒木,倒木,3,0,0.004093,0.0,0.0,3,0,0.065217
phase3,selected_overlap_keywords,停止線,停止線,2,0,0.002729,0.0,0.0,2,0,0.043478
phase3,selected_overlap_keywords,側溝,側溝,6,2,0.008186,0.007752,0.333333,6,2,0.130435
phase3,selected_overlap_keywords,充電柱,充電柱,3,0,0.004093,0.0,0.0,3,0,0.065217
phase3,selected_overlap_keywords,光のガード,光のガード,0,0,0.0,0.0,0.0,0,0,0.0
phase3,selected_overlap_keywords,光の帯,光の帯,5,2,0.006821,0.007752,0.4,5,2,0.108696
phase3,selected_overlap_keywords,光の格子,光の格子,4,2,0.005457,0.007752,0.5,4,2,0.086957
phase3,selected_overlap_keywords,光壁,光壁,3,0,0.004093,0.0,0.0,3,0,0.065217
phase3,selected_overlap_keywords,光柱,光柱,5,3,0.006821,0.011628,0.6,5,3,0.108696
phase3,selected_overlap_keywords,列柱,列柱,1,0,0.001364,0.0,0.0,1,0,0.021739
phase3,selected_overlap_keywords,反重力石柱,反重力石柱,7,2,0.00955,0.007752,0.285714,6,2,0.130435
phase3,selected_overlap_keywords,吊り滑車,吊り滑車,5,2,0.006821,0.007752,0.4,5,2,0.108696
phase3,selected_overlap_keywords,吊り灯,吊り灯,9,2,0.012278,0.007752,0.222222,9,2,0.195652
phase3,selected_overlap_keywords,土の盛り土,土の盛り土,1,0,0.001364,0.0,0.0,1,0,0.021739
phase3,selected_overlap_keywords,地下換気塔,地下換気塔,4,2,0.005457,0.007752,0.5,3,2,0.065217
phase3,selected_overlap_keywords,城壁,城壁,5,2,0.006821,0.007752,0.4,5,2,0.108696
phase3,selected_overlap_keywords,城壁階段,城壁階段,5,2,0.006821,0.007752,0.4,5,2,0.108696
phase3,selected_overlap_keywords,城郭櫓,城郭櫓,6,2,0.008186,0.007752,0.333333,6,2,0.130435
phase3,selected_overlap_keywords,城門,城門,8,4,0.010914,0.015504,0.5,8,4,0.173913
phase3,selected_overlap_keywords,堀,堀,3,1,0.004093,0.003876,0.333333,3,1,0.065217
