phase,dimension,catalog_id,label,proposal_count,winner_count,proposal_share,winner_share,adoption_given_usage,proposal_sessions,winner_sessions,session_usage_rate
phase3,selected_set_keywords,かがり火,かがり火,8,4,0.002941,0.004348,0.5,8,4,0.173913
phase3,selected_set_keywords,つる植物,つる植物,23,3,0.008456,0.003261,0.130435,20,3,0.434783
phase3,selected_set_keywords,アーチ壁,アーチ壁,17,5,0.00625,0.005435,0.294118,15,5,0.326087
phase3,selected_set_keywords,オベリスク,オベリスク,15,4,0.005515,0.004348,0.266667,14,4,0.304348
phase3,selected_set_keywords,カーブミラー,カーブミラー,17,3,0.00625,0.003261,0.176471,16,3,0.347826
phase3,selected_set_keywords,ガードレール,ガードレール,14,5,0.005147,0.005435,0.357143,12,5,0.26087
phase3,selected_set_keywords,グレーチング,グレーチング,18,4,0.006618,0.004348,0.222222,16,4,0.347826
phase3,selected_set_keywords,ケーブル束,ケーブル束,13,1,0.004779,0.001087,0.076923,12,1,0.26087
phase3,selected_set_keywords,ゴミ箱,ゴミ箱,16,3,0.005882,0.003261,0.1875,15,3,0.326087
phase3,selected_set_keywords,ドッキング柱,ドッキング柱,8,2,0.002941,0.002174,0.25,6,2,0.130435
phase3,selected_set_keywords,バス停柱,バス停柱,16,4,0.005882,0.004348,0.25,15,4,0.326087
phase3,selected_set_keywords,ベンチ,ベンチ,14,7,0.005147,0.007609,0.5,13,7,0.282609
phase3,selected_set_keywords,マンホール,マンホール,8,2,0.002941,0.002174,0.25,8,2,0.173913
phase3,selected_set_keywords,リニア軌道,リニア軌道,10,4,0.003676,0.004348,0.4,9,4,0.195652
phase3,selected_set_keywords,ルーン柱,ルーン柱,12,2,0.004412,0.002174,0.166667,11,2,0.23913
phase3,selected_set_keywords,乾燥棚,乾燥棚,13,3,0.004779,0.003261,0.230769,10,3,0.217391
phase3,selected_set_keywords,井戸,井戸,13,4,0.004779,0.004348,0.307692,13,4,0.282609
phase3,selected_set_keywords,井桁,井桁,14,6,0.005147,0.006522,0.428571,14,6,0.304348
phase3,selected_set_keywords,作業台,作業台,20,6,0.007353,0.006522,0.3,20,6,0.434783
phase3,selected_set_keywords,係留杭,係留杭,15,4,0.005515,0.004348,0.266667,14,4,0.304348
phase3,selected_set_keywords,信号機,信号機,17,4,0.00625,0.004348,0.235294,15,4,0.326087
phase3,selected_set_keywords,倉庫扉,倉庫扉,10,3,0.003676,0.003261,0.3,10,3,0.217391
phase3,selected_set_keywords,倒木,倒木,9,2,0.003309,0.002174,0.222222,9,2,0.195652
phase3,selected_set_keywords,停止線,停止線,16,2,0.005882,0.002174,0.125,14,2,0.304348
phase3,selected_set_keywords,側溝,側溝,16,6,0.005882,0.006522,0.375,15,6,0.326087
phase3,selected_set_keywords,充電柱,充電柱,14,2,0.005147,0.002174,0.142857,13,2,0.282609
phase3,selected_set_keywords,光のガード,光のガード,13,3,0.004779,0.003261,0.230769,13,3,0.282609
phase3,selected_set_keywords,光の帯,光の帯,22,11,0.008088,0.011957,0.5,18,11,0.391304
phase3,selected_set_keywords,光の格子,光の格子,8,4,0.002941,0.004348,0.5,8,4,0.173913
phase3,selected_set_keywords,光壁,光壁,16,3,0.005882,0.003261,0.1875,14,3,0.304348
phase3,selected_set_keywords,光柱,光柱,10,3,0.003676,0.003261,0.3,10,3,0.217391
phase3,selected_set_keywords,列柱,列柱,10,5,0.003676,0.005435,0.5,10,5,0.217391
phase3,selected_set_keywords,反重力石柱,反重力石柱,15,3,0.005515,0.003261,0.2,14,3,0.304348
phase3,selected_set_keywords,吊り滑車,吊り滑車,20,6,0.007353,0.006522,0.3,19,6,0.413043
