session_id,proposal_index,proposal_id,persona_id,winner,tone_id,genre_id,winner_key
session-20260302-004954-44fa,0,phase4a-20260301160251-0,persona-f62d556d,0,,,C
session-20260302-004954-44fa,1,phase4a-20260301160326-1,persona-fafeaa10,0,,,C
session-20260302-004954-44fa,2,phase4a-20260301160400-2,persona-2d4847ca,1,,,C
session-20260302-010721-f35d,0,phase4a-20260301161518-0,persona-dec2b905,1,,,A
session-20260302-010721-f35d,1,phase4a-20260301161553-1,persona-0527e814,0,,,A
session-20260302-010721-f35d,2,phase4a-20260301161628-2,persona-0b1a9590,0,,,A
session-20260302-130453-4a87,0,phase4a-20260302041444-0,persona-e73f6de0,0,,,B
session-20260302-130453-4a87,1,phase4a-20260302041520-1,persona-2b0dce2e,1,,,B
session-20260302-130453-4a87,2,phase4a-20260302041549-2,persona-3645b179,0,,,B
session-20260307-130534-a093,0,phase4a-20260307041256-0,persona-47e633f7,1,,,A
session-20260307-130534-a093,1,phase4a-20260307041330-1,persona-4b4b8838,0,,,A
session-20260307-130534-a093,2,phase4a-20260307041408-2,persona-af0b2f41,0,,,A
session-20260307-140450-2d08,0,phase4a-20260307052141-0,persona-000285f9,0,,,B
session-20260307-140450-2d08,1,phase4a-20260307052213-1,persona-85daec20,1,,,B
session-20260307-140450-2d08,2,phase4a-20260307052247-2,persona-2f93930e,0,,,B
session-20260308-013221-7d56,0,phase4a-20260307164715-0,persona-dfc6a221,0,,,C
session-20260308-013221-7d56,1,phase4a-20260307164746-1,persona-047bc50f,0,,,C
session-20260308-013221-7d56,2,phase4a-20260307164819-2,persona-2214015d,1,,,C
session-20260308-073956-c0d9,0,phase4a-20260307224927-0,persona-16bfcea6,1,,,A
session-20260308-073956-c0d9,1,phase4a-20260307225003-1,persona-5582a4af,0,,,A
session-20260308-073956-c0d9,2,phase4a-20260307225027-2,persona-2be375c6,0,,,A
session-20260308-124023-e4c5,0,phase4a-20260308034852-0,persona-aa543b71,1,,,A
session-20260308-124023-e4c5,1,phase4a-20260308034938-1,persona-b29c0fba,0,,,A
session-20260308-124023-e4c5,2,phase4a-20260308035018-2,persona-536670e0,0,,,A
session-20260309-000620-e5a8,0,phase4a-20260308152454-0,persona-63ab1cdf,0,,,C
session-20260309-000620-e5a8,1,phase4a-20260308152526-1,persona-af0b2f41,0,,,C
session-20260309-000620-e5a8,2,phase4a-20260308152605-2,persona-16bfcea6,1,,,C
session-20260309-121304-e6c6,0,phase4a-20260309032635-0,persona-2d4847ca,0,,,C
session-20260309-121304-e6c6,1,phase4a-20260309032715-1,persona-12997349,0,,,C
session-20260309-121304-e6c6,2,phase4a-20260309032756-2,persona-90598399,1,,,C
session-20260309-230141-f307,0,phase4a-20260309141006-0,persona-2c74efe0,0,,,C
