session_id,proposal_index,proposal_id,persona_id,winner,style_id,winner_key
session-20260318-112731-fe15,0,phase4s-20260318044039-0,persona-a179009b,0,vertical_scroll,B
session-20260318-112731-fe15,1,phase4s-20260318044155-1,persona-f2594504,1,reverse_motion,B
session-20260318-112731-fe15,2,phase4s-20260318044325-2,persona-9422b01c,0,timelapse,B
session-20260318-134607-794a,0,phase4s-20260318074437-0,persona-70918051,0,miniature_tilt,B
session-20260318-134607-794a,1,phase4s-20260318074623-1,persona-424b62dd,1,found_footage,B
session-20260318-134607-794a,2,phase4s-20260318074740-2,persona-ebfbd1b5,0,reverse_motion,B
session-20260319-004903-25bc,0,phase4s-20260318181625-0,persona-3a362088,0,underwater,B
session-20260319-004903-25bc,1,phase4s-20260318181849-1,persona-9fedfc46,1,puppet_claymation,B
session-20260319-004903-25bc,2,phase4s-20260318182046-2,persona-2214015d,0,stop_motion,B
session-20260319-132845-b811,0,phase4s-20260319063127-0,persona-9da6093e,0,stop_motion,C
session-20260319-132845-b811,1,phase4s-20260319063227-1,persona-bd35846e,0,overhead_only,C
session-20260319-132845-b811,2,phase4s-20260319063408-2,persona-21b7a246,1,found_footage,C
session-20260319-235635-fbb4,0,phase4s-20260319171847-0,persona-f0540cb8,0,projection_mapping,B
session-20260319-235635-fbb4,1,phase4s-20260319172038-1,persona-734ac207,1,kaleidoscope,B
session-20260319-235635-fbb4,2,phase4s-20260319172136-2,persona-d2e63ce4,0,vertical_scroll,B
session-20260320-105804-a762,0,phase4s-20260320042048-0,persona-212879db,0,projection_mapping,C
session-20260320-105804-a762,1,phase4s-20260320042312-1,persona-6d7657b0,0,body_paint,C
session-20260320-105804-a762,2,phase4s-20260320042553-2,persona-a514e5e9,1,rotoscope,C
session-20260321-000337-db54,0,phase4s-20260320165131-0,persona-de0bd179,1,reverse_motion,A
session-20260321-000337-db54,1,phase4s-20260320165231-1,persona-2f93930e,0,timelapse,A
session-20260321-000337-db54,2,phase4s-20260320165339-2,persona-8c5dc682,0,miniature_tilt,A
session-20260321-112701-c82a,0,phase4s-20260321044656-0,persona-dbb964e7,0,puppet_claymation,C
session-20260321-112701-c82a,1,phase4s-20260321044756-1,persona-fd704004,0,stop_motion,C
session-20260321-112701-c82a,2,phase4s-20260321044946-2,persona-ce3b4ea8,1,kaleidoscope,C
session-20260321-233838-3056,0,phase4s-20260321175315-0,persona-400d5ebd,0,underwater,C
session-20260321-233838-3056,1,phase4s-20260321175526-1,persona-212879db,0,body_paint,C
session-20260321-233838-3056,2,phase4s-20260321175724-2,persona-dbb964e7,1,one_take,C
session-20260322-102026-26e3,0,phase4s-20260322041304-0,persona-4bea2d91,0,silhouette,B
session-20260322-102026-26e3,1,phase4s-20260322041522-1,persona-9fedfc46,1,rotoscope,B
session-20260322-102026-26e3,2,phase4s-20260322041753-2,persona-866b8dab,0,miniature_tilt,B
session-20260322-165429-3acb,0,phase4s-20260322160800-0,persona-0824f395,0,vertical_scroll,B
session-20260322-165429-3acb,1,phase4s-20260322161015-1,persona-5582a4af,1,underwater,B
session-20260322-165429-3acb,2,phase4s-20260322161115-2,persona-01454f7d,0,body_paint,B
